pk_customerkey;costumer_name;birth_date;marital_status;gender;yearly_income;number_children_at_home;occupation;number_cars_owned;address_line;phone;fk_date_first_purchase
11000;Jon Yang;08/04/1986;M;M;90000;0;Professional;0;3761 N. 14th St;1 (11) 500 555-0162;20160722
11001;Eugene Huang;14/05/1985;S;M;60000;3;Professional;1;2243 W St.;1 (11) 500 555-0110;20160718
11002;Ruben Torres;12/08/1985;M;M;60000;3;Professional;1;5844 Linden Land;1 (11) 500 555-0184;20160710
11003;Christy Zhu;15/02/1988;S;F;70000;0;Professional;1;1825 Village Pl.;1 (11) 500 555-0162;20160701
11004;Elizabeth Johnson;08/08/1988;S;F;80000;5;Professional;4;7553 Harness Circle;1 (11) 500 555-0131;20160726
11005;Julio Ruiz;05/08/1985;S;M;70000;0;Professional;1;7305 Humphrey Drive;1 (11) 500 555-0151;20160702
11006;Janet Alvarez;06/12/1985;S;F;70000;0;Professional;1;2612 Berry Dr;1 (11) 500 555-0184;20160727
11007;Marco Mehta;09/05/1984;M;M;60000;3;Professional;2;942 Brook Street;1 (11) 500 555-0126;20160712
11008;Rob Verhoff;07/07/1984;S;F;60000;4;Professional;3;624 Peabody Road;1 (11) 500 555-0164;20160728
11009;Shannon Carlson;01/04/1984;S;M;70000;0;Professional;1;3839 Northgate Road;1 (11) 500 555-0110;20160730
11010;Jacquelyn Suarez;06/02/1984;S;F;70000;0;Professional;1;7800 Corrinne Court;1 (11) 500 555-0169;20160717
11011;Curtis Lu;04/11/1983;M;M;60000;4;Professional;4;1224 Shoenic;1 (11) 500 555-0117;20160702
11012;Lauren Walker;18/01/1988;M;F;100000;0;Management;2;4785 Scott Street;717-555-0164;20180917
11013;Ian Jenkins;06/08/1988;M;M;100000;0;Management;3;7902 Hudson Ave.;817-555-0185;20181015
11014;Sydney Bennett;09/05/1988;S;F;100000;0;Management;3;9011 Tank Drive;431-555-0156;20180924
11015;Chloe Young;27/02/1999;S;F;30000;0;Skilled Manual;1;244 Willow Pass Road;208-555-0142;20180722
11016;Wyatt Hill;28/04/1999;M;M;30000;0;Skilled Manual;1;9666 Northridge Ct.;135-555-0171;20180813
11017;Shannon Wang;26/06/1964;S;F;20000;0;Skilled Manual;2;7330 Saddlehill Lane;1 (11) 500 555-0195;20160715
11018;Clarence Rai;09/10/1964;S;M;30000;0;Clerical;2;244 Rivewview;1 (11) 500 555-0137;20160720
11019;Luke Lal;07/03/1998;S;M;40000;0;Skilled Manual;2;7832 Landing Dr;262-555-0112;20180816
11020;Jordan King;20/09/1998;S;M;40000;0;Skilled Manual;2;7156 Rose Dr.;550-555-0163;20180702
11021;Destiny Wilson;03/09/1998;S;F;40000;0;Skilled Manual;1;8148 W. Lake Dr.;622-555-0158;20180727
11022;Ethan Zhang;12/10/1998;M;M;40000;0;Skilled Manual;1;1769 Nicholas Drive;589-555-0185;20180724
11023;Seth Edwards;11/10/1998;M;M;40000;0;Skilled Manual;1;4499 Valley Crest;452-555-0188;20180821
11024;Russell Xie;17/09/1998;M;M;60000;0;Skilled Manual;2;8734 Oxford Place;746-555-0186;20181229
11025;Alejandro Beck;23/12/1965;M;M;10000;1;Clerical;2;2596 Franklin Canyon Road;1 (11) 500 555-0178;20160709
11026;Harold Sai;03/04/1966;S;M;30000;0;Clerical;2;8211 Leeds Ct.;1 (11) 500 555-0131;20160726
11027;Jessie Zhao;07/12/1966;M;M;30000;0;Clerical;2;213 Valencia Place;1 (11) 500 555-0184;20160719
11028;Jill Jimenez;11/04/1966;M;F;30000;0;Clerical;2;9111 Rose Ann Ave;1 (11) 500 555-0116;20160729
11029;Jimmy Moreno;21/12/1966;M;M;30000;0;Clerical;2;6385 Mark Twain;1 (11) 500 555-0146;20160722
11030;Bethany Yuan;22/02/1967;M;F;10000;1;Clerical;2;636 Vine Hill Way;1 (11) 500 555-0182;20160808
11031;Theresa Ramos;22/08/1967;M;F;20000;0;Skilled Manual;2;6465 Detroit Ave.;1 (11) 500 555-0195;20160804
11032;Denise Stone;11/06/1967;M;F;20000;0;Skilled Manual;2;626 Bentley Street;1 (11) 500 555-0169;20160821
11033;Jaime Nath;23/09/1967;M;M;20000;0;Skilled Manual;2;5927 Rainbow Dr;1 (11) 500 555-0137;20160818
11034;Ebony Gonzalez;19/06/1967;M;F;20000;0;Skilled Manual;2;5167 Condor Place;1 (11) 500 555-0136;20160804
11035;Wendy Dominguez;24/02/1968;M;F;10000;1;Clerical;2;1873 Mt. Whitney Dr;1 (11) 500 555-0177;20160809
11036;Jennifer Russell;18/12/1998;M;F;60000;0;Skilled Manual;2;3981 Augustine Drive;115-555-0183;20180726
11037;Chloe Garcia;27/11/1997;S;F;40000;0;Clerical;2;8915 Woodside Way;229-555-0112;20180724
11038;Diana Hernandez;23/03/1968;M;F;10000;1;Clerical;2;8357 Sandy Cove Lane;1 (11) 500 555-0114;20160810
11039;Marc Martin;17/12/1968;M;M;30000;0;Clerical;2;9353 Creekside Dr.;1 (11) 500 555-0183;20160810
11040;Jesse Murphy;01/08/1997;M;M;30000;0;Skilled Manual;2;3350 Kingswood Circle;961-555-0176;20181005
11041;Amanda Carter;16/10/1997;M;F;60000;0;Skilled Manual;2;5826 Escobar;295-555-0145;20180718
11042;Megan Sanchez;13/06/1997;M;F;70000;0;Skilled Manual;2;1397 Paraiso Ct.;404-555-0199;20180725
11043;Nathan Simmons;24/02/1996;M;M;60000;0;Skilled Manual;2;1170 Shaw Rd;296-555-0181;20181109
11044;Adam Flores;24/05/1969;M;M;20000;1;Clerical;2;6935 Candle Dr;1 (11) 500 555-0163;20160831
11045;Leonard Nara;19/05/1970;S;M;30000;0;Skilled Manual;2;7466 La Vista Ave.;1 (11) 500 555-0151;20181012
11046;Christine Yuan;22/03/1970;M;F;30000;0;Skilled Manual;2;2356 Orange St;1 (11) 500 555-0113;20160809
11047;Jaclyn Lu;27/02/1970;M;F;30000;0;Skilled Manual;2;2812 Mazatlan;1 (11) 500 555-0137;20160806
11048;Jeremy Powell;22/11/1970;M;M;30000;0;Skilled Manual;2;1803 Potomac Dr.;1 (11) 500 555-0183;20160813
11049;Carol Rai;18/07/2000;S;F;40000;0;Clerical;2;6064 Madrid;654-555-0180;20180910
11050;Alan Zheng;07/09/1971;M;M;30000;0;Skilled Manual;2;2741 Gainborough Dr.;1 (11) 500 555-0135;20160823
11051;Daniel Johnson;04/08/1971;S;M;30000;0;Skilled Manual;2;8085 Sunnyvale Avenue;1 (11) 500 555-0155;20190701
11052;Heidi Lopez;07/08/1971;S;F;40000;0;Clerical;2;2514 Via Cordona;1 (11) 500 555-0168;20160820
